Coin,Closed PnL
@107,1449482.156367
SOL,991610.532964
HYPE,532025.211295
ENA,160058.380219
BTC,104147.422087
USUAL,60765.860271
ETH,50563.84001899998
kBONK,29679.824185
MELANIA,19789.876098
ME,17313.69086
